id,altitude,availableBikes,availableDocks,city,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
474,"",1,53,"","",2019-06-12T19:17:40.000-07:00,40.7451677,"",-73.98683077,"",5 Ave & E 29 St,"",5 Ave & E 29 St,1,In Service,false,56
3506,"",3,20,"","",2019-06-12T19:14:32.000-07:00,40.8013066,"",-73.9398167,"",Lexington Ave & E 120 St,"",Lexington Ave & E 120 St,1,In Service,false,29
3764,"",0,21,"","",2019-06-12T19:14:27.000-07:00,40.705517,"",-73.93936,"",Bushwick Ave & McKibbin St,"",Bushwick Ave & McKibbin St,1,In Service,false,21
418,"",6,17,"","",2019-06-12T19:16:00.000-07:00,40.70224,"",-73.982578,"",Front St & Gold St,"",Front St & Gold St,1,In Service,false,23
3061,"",2,18,"","",2019-06-12T19:16:13.000-07:00,40.69622937,"",-73.94371094,"",Throop Ave & Myrtle Ave,"",Throop Ave & Myrtle Ave,1,In Service,false,21
3106,"",13,5,"","",2019-06-12T19:17:37.000-07:00,40.72325,"",-73.94308,"",Driggs Ave & N Henry St,"",Driggs Ave & N Henry St,1,In Service,false,22
3199,"",4,10,"","",2019-06-12T19:16:32.000-07:00,40.7287448,"",-74.0321082,"",Newport Pkwy,"",Newport Pkwy,1,In Service,false,14
3280,"",7,7,"","",2019-06-12T19:15:50.000-07:00,40.71928220070702,"",-74.07126188278198,"",Astor Place,"",Astor Place,1,In Service,false,14
3391,"",6,18,"","",2019-06-12T19:13:58.000-07:00,40.7892529,"",-73.93956237,"",E 106 St & 1 Ave,"",E 106 St & 1 Ave,1,In Service,false,25
270,"",9,14,"","",2019-06-12T19:17:34.000-07:00,40.69308257,"",-73.97178913,"",Adelphi St & Myrtle Ave,"",Adelphi St & Myrtle Ave,1,In Service,false,23
293,"",1,53,"","",2019-06-12T19:17:43.000-07:00,40.73020660529954,"",-73.99102628231049,"",Lafayette St & E 8 St,"",Lafayette St & E 8 St,1,In Service,false,55
3155,"",1,37,"","",2019-06-12T19:16:37.000-07:00,40.76440023,"",-73.96648977,"",Lexington Ave & E 63 St,"",Lexington Ave & E 63 St,1,In Service,false,39
3327,"",7,19,"","",2019-06-12T19:17:40.000-07:00,40.7877214,"",-73.94728331,"",3 Ave & E 100 St,"",3 Ave & E 100 St,1,In Service,false,27
